DATE,APP,CATEGORY,DAU Real,MAU Real,Stickiness Real,preds_dau,preds_mau,Stickiness Preds
2021-10-02 00:00:00,99 Food: Entrega de Comida,FOOD_AND_DRINK,131615,1100506,0.1195949863062991,125872,1094125,0.11504352793328002
2021-10-02 00:00:00,99: Carro particular e Taxi,OTHERS,4958098,25722057,0.19275666794455826,4362362,19731167,0.22108991323219757
2021-10-02 00:00:00,abastece-aí: cashback no posto,OTHERS,177932,1430024,0.12442588376139142,172019,1434834,0.11988773614229939
2021-10-02 00:00:00,Asaas: Receba por Boleto e Pix,OTHERS,8993,72929,0.1233117141329238,6844,57018,0.12003227051106669
2021-10-02 00:00:00,BTFIT: Personal trainer online,HEALTH_AND_FITNESS,1254,21021,0.059654631083202514,1287,21583,0.05963026456007042
2021-10-02 00:00:00,Cartão de crédito Atacadão,FINANCE,278743,1939262,0.1437366379581511,227043,1719246,0.13205963544484037
2021-10-02 00:00:00,Cartão de crédito Carrefour,FINANCE,362347,2360519,0.15350310673203646,323595,2315386,0.13975855429721004
2021-10-02 00:00:00,Casas Bahia: Comprar Online,SHOPPING,931472,9530919,0.0977316038463867,1044644,9223582,0.1132579511950997
2021-10-02 00:00:00,Catho: oportunidades e emprego,OTHERS,30720,268676,0.11433845970611443,28840,167752,0.171920454003529
2021-10-02 00:00:00,Época Cosméticos e Maquiagens,SHOPPING,28346,300300,0.09439227439227439,22041,251731,0.08755775013804418
2021-10-02 00:00:00,Extra: Loja Online e Ofertas,SHOPPING,225489,2882339,0.07823125593485013,233934,3475183,0.06731559172567315
2021-10-02 00:00:00,"Hurb: Hotéis, Resorts e Pacotes de Viagem",TRAVEL_AND_LOCAL,100399,992347,0.1011732791049905,106046,1001120,0.10592736135528208
2021-10-02 00:00:00,iFood Delivery de Comida,FOOD_AND_DRINK,4603916,24119443,0.19087986401676024,4248515,23656647,0.17959075096314367
2021-10-02 00:00:00,Inter: conta digital completa,FINANCE,1980155,8069434,0.24538957750940152,1724626,8669109,0.1989392450827415
2021-10-02 00:00:00,"James Delivery: Entrega de Mercado, Farmácia e +",FOOD_AND_DRINK,16677,188226,0.08860093717127283,17049,205476,0.08297319394965835
2021-10-02 00:00:00,Loja C&A: Comprar roupa e mais,SHOPPING,274255,2431697,0.11278337720530149,266628,2474164,0.10776488543200854
2021-10-02 00:00:00,Lojas Marisa: Roupas e Sapatos,SHOPPING,239325,1984821,0.12057762387641001,234618,1857198,0.12632901823068945
2021-10-02 00:00:00,Lojas Renner - Comprar Roupas,SHOPPING,586725,4604781,0.12741648299886574,642966,4032503,0.15944588261930617
2021-10-02 00:00:00,McDonald’s: Cupons e Delivery,FOOD_AND_DRINK,523242,6039413,0.08663789013932315,457919,7285268,0.06285547765710198
2021-10-02 00:00:00,Mercado Livre: Compras Online,SHOPPING,15214113,70368277,0.21620698486052173,15189689,51807370,0.2931955241117239
2021-10-02 00:00:00,Netshoes: Loja de Esportes,SHOPPING,444197,3783122,0.11741545739206931,454142,3799416,0.1195294224164977
2021-10-02 00:00:00,Noverde: empréstimo em até 24h,FINANCE,11531,251614,0.04582813356967418,11992,254991,0.04702911083136267
2021-10-02 00:00:00,"Original - Pix, Digital, Cashback e Empréstimos",FINANCE,334314,1667081,0.2005385461174352,285347,1642326,0.17374565098524897
2021-10-02 00:00:00,pede.ai: delivery de comidas,FOOD_AND_DRINK,23921,163370,0.14642223174389424,26114,163358,0.1598574909095361
2021-10-02 00:00:00,Ultragaz: Pedir botijão de gás,SHOPPING,19900,200705,0.09915049450686331,11810,207091,0.057028069785746364
2021-10-02 00:00:00,Webmotors: comprar seminovos,OTHERS,104942,711693,0.14745402863313253,110573,647215,0.17084430985066787
2021-10-03 00:00:00,99 Food: Entrega de Comida,FOOD_AND_DRINK,129544,1101871,0.1175673014354675,132798,1119236,0.11865057950244631
2021-10-03 00:00:00,99: Carro particular e Taxi,OTHERS,4227706,25711379,0.16442937580283035,4125254,24363539,0.16932080351709167
2021-10-03 00:00:00,abastece-aí: cashback no posto,OTHERS,142473,1421324,0.10023963571993437,171871,1417589,0.12124177035798105
2021-10-03 00:00:00,BTFIT: Personal trainer online,HEALTH_AND_FITNESS,1360,21049,0.06461114542258539,1286,21691,0.059287261998063716
2021-10-03 00:00:00,Cartão de crédito Atacadão,FINANCE,236807,1939734,0.12208220302371356,228246,1772878,0.12874320737241932
2021-10-03 00:00:00,Cartão de crédito Carrefour,FINANCE,307064,2359817,0.13012195437188562,306228,2285761,0.13397201194700584
2021-10-03 00:00:00,Casas Bahia: Comprar Online,SHOPPING,997451,9499222,0.10500344133445876,1039854,9233410,0.1126186316864517
2021-10-03 00:00:00,Catho: oportunidades e emprego,OTHERS,31598,268996,0.11746643072759447,27758,186284,0.14900903996049045
2021-10-03 00:00:00,"Centauro: Loja de roupas, tênis, chuteira, calçado",SHOPPING,196796,1700775,0.11570960297511429,189634,1706643,0.11111521273048904
2021-10-03 00:00:00,Destinos CVC: pacotes e hotéis,TRAVEL_AND_LOCAL,12870,160745,0.08006469874646178,11702,219278,0.05336604675343628
2021-10-03 00:00:00,Época Cosméticos e Maquiagens,SHOPPING,30970,301568,0.10269657258064516,24551,290264,0.08458162224733347
2021-10-03 00:00:00,Extra: Loja Online e Ofertas,SHOPPING,225646,2884976,0.07821416885270449,234095,3391505,0.0690239289047193
2021-10-03 00:00:00,"Hurb: Hotéis, Resorts e Pacotes de Viagem",TRAVEL_AND_LOCAL,113996,993022,0.11479705384170744,110744,955249,0.11593207634867977
2021-10-03 00:00:00,iFood Delivery de Comida,FOOD_AND_DRINK,4497575,24146598,0.1862612281862646,4202461,23698399,0.17733100873185567
2021-10-03 00:00:00,Inter: conta digital completa,FINANCE,1733165,8095757,0.21408313021252984,1723207,8654534,0.19911031604936788
2021-10-03 00:00:00,"James Delivery: Entrega de Mercado, Farmácia e +",FOOD_AND_DRINK,14925,187875,0.07944111776447106,17039,194751,0.08749120672037627
2021-10-03 00:00:00,Loja C&A: Comprar roupa e mais,SHOPPING,286322,2457894,0.11649078438695892,261481,2541539,0.10288293825119348
2021-10-03 00:00:00,Lojas Marisa: Roupas e Sapatos,SHOPPING,253760,1982071,0.12802770435569663,232460,1826680,0.1272581951956555
2021-10-03 00:00:00,Lojas Renner - Comprar Roupas,SHOPPING,614705,4612545,0.13326807651741068,654541,4381432,0.14938974289684287
2021-10-03 00:00:00,McDonald’s: Cupons e Delivery,FOOD_AND_DRINK,460028,6045227,0.07609772139243076,482115,6198441,0.077780041787927
2021-10-03 00:00:00,Mercado Livre: Compras Online,SHOPPING,15311695,70391917,0.21752064232033913,15353105,61740149,0.24867295023858785
2021-10-03 00:00:00,Netshoes: Loja de Esportes,SHOPPING,472934,3790037,0.12478347836709773,454424,3857499,0.11780275250881465
2021-10-03 00:00:00,Noverde: empréstimo em até 24h,FINANCE,10752,250688,0.04288996681133521,11232,241779,0.04645564751281129
2021-10-03 00:00:00,"Original - Pix, Digital, Cashback e Empréstimos",FINANCE,286565,1672106,0.17137968525918812,291375,1633635,0.17835991515852684
2021-10-03 00:00:00,pede.ai: delivery de comidas,FOOD_AND_DRINK,25361,162758,0.15582029761977906,26178,163711,0.15990373279742962
2021-10-03 00:00:00,Ultragaz: Pedir botijão de gás,SHOPPING,12333,202094,0.06102605718131167,24499,268370,0.09128814696128479
2021-10-03 00:00:00,Webmotors: comprar seminovos,OTHERS,111444,713943,0.1560964950983482,106213,644585,0.16477733735659378
